StormID,Time,Start,End,Ini_Lat,Ini_Lon,Ini_Time,,Lat_2,Lon_2,Time_2,,Lat_3,Lon_3,Time_3,,Distance1,Distance2,,Total Distance KM,Total Distance m,,Time1,Time2,TotalTime(S),,ObservedMotion(m/s),,,,Distance1_U,,Distance2_U,TotalD_U_dist,TotalU_Vector,,,Distance1_V,,Distance2_V,TotalD_V_dist,TotalV_Vector,,,TotalU_Vector,TotalV_Vector,,U**2,V**2,Mag,,AngleRad,AngleDeg
1,19,18:27,19:32,34.06054,-98.87469,18:46,1/0/1900 18:46,34.14523,-98.81556,19:00,1/0/1900 19:00,34.22128,-98.73374,19:16,1/0/1900 19:16,10.86368805,11.31618237,,22.17987043,22179.87043,,840,960,1800,,12.32215024,,,1,5.458833944,1,7.546034747,13.00486869,7.224927051,,1,9.394174375,1,8.435899516,17.83007389,9.905596606,,,7.224927051,9.905596606,,52.19957089,98.12084412,12.26052262,,0.940624271,53.89380086
2,20,19:37,20:13,34.45633,-98.6349,19:47,1/0/1900 19:47,34.56229,-98.5193,20:03,1/0/1900 20:03,34.61264,-98.44109,20:08,1/0/1900 20:08,15.83834307,9.092987292,,24.93133036,24931.33036,,960,300,1260,,19.78677013,,,2,10.62223425,2,7.177458062,17.79969231,14.12673993,,2,11.75431431,2,5.585478618,17.33979293,13.76174042,,,14.12673993,13.76174042,,199.564781,189.3854994,19.72182244,,0.772311087,44.25016576
4,20,19:42,20:46,33.76836,-99.16289,19:47,1/0/1900 19:47,33.90135,-99.10258,20:03,1/0/1900 20:03,33.97503,-99.05288,20:13,1/0/1900 20:13,15.77216486,9.375782368,,25.14794723,25147.94723,,960,600,1560,,16.12047899,,,4,5.586804527,4,4.59682477,10.1836293,6.527967498,,4,14.75117191,4,8.172679182,22.92385109,14.69477634,,,6.527967498,14.69477634,,42.61435965,215.9364517,16.07951527,,1.152745002,66.04742347
5,20,19:58,20:46,33.37762,-99.27945,19:58,1/0/1900 19:58,33.51325,-99.20326,20:13,1/0/1900 20:13,null,null,null,null,16.62766652,0,,16.62766652,16627.66652,,900,#VALUE!,900,,18.47518502,,,5,7.089714559,,0,7.089714559,7.877460621,,5,15.04305017,,0,15.04305017,16.71450019,,,7.877460621,16.71450019,,62.05438584,279.3745166,18.47779485,,1.130375263,64.76573184
6,20,19:39,20:49,34.47572,-97.20956,19:45,1/0/1900 19:45,34.64269,-97.12865,20:02,1/0/1900 20:02,34.73959,-97.06947,20:16,1/0/1900 20:16,19.95539117,12.03989029,,31.99528145,31995.28145,,1020,840,1860,,17.20176422,,,6,7.432926353,6,5.425812769,12.85873912,6.913300603,,6,18.522404,6,10.74959477,29.27199877,15.73763375,,,6.913300603,15.73763375,,47.79372523,247.673116,17.18914894,,1.156888949,66.28485416
7,22,21:26,22:23,34.62255,-97.5536,21:48,1/0/1900 21:48,34.69507,-97.51481,21:58,1/0/1900 21:58,34.80919,-97.4432,22:13,1/0/1900 22:13,8.795702368,14.25719808,,23.05290045,23052.90045,,600,900,1500,,15.3686003,,,7,3.557251631,7,6.561303989,10.11855562,6.745703747,,7,8.044958409,7,12.66002125,20.70497966,13.80331977,,,6.745703747,13.80331977,,45.50451904,190.5316367,15.36346822,,1.116228264,63.95516853
8,22,21:59,22:25,34.50377,-97.43682,21:59,1/0/1900 21:59,34.65878,-97.33886,22:18,1/0/1900 22:18,null,null,null,null,19.40295996,0,,19.40295996,19402.95996,,1140,#VALUE!,1140,,17.02014032,,,8,8.996239212,,0,8.996239212,7.891437905,,8,17.19571326,,0,17.19571326,15.083959,,,7.891437905,15.083959,,62.27479221,227.5258191,17.02353111,,1.088786918,62.38289521
10,0,xxx,xxx,36.30757,-97.54001,23:44,1/0/1900 23:44,36.34703,-97.43562,23:58,1/0/1900 23:58,36.39506,-97.29412,0:13,1/0/1900 0:13,10.3454636,13.77127667,,24.11674027,24116.74027,,840,900,1740,,13.86019556,,,10,9.375503312,10,12.70203025,22.07753356,12.68823768,,10,4.378682035,10,5.32969187,9.708373905,5.579525233,,,12.68823768,5.579525233,,160.9913754,31.13110183,13.86082527,,0.414288999,23.73701112
10,1,xxx,xxx,36.47612,-96.9975,0:43,1/0/1900 0:43,36.50073,-96.79144,0:57,1/0/1900 0:57,36.60107,-96.6405,1:17,1/0/1900 1:17,18.66475347,17.51026036,,36.17501383,36175.01383,,840,1200,2040,,17.73284992,,,10,18.46680586,10,13.52275239,31.98955825,15.681156,,10,2.730924453,10,11.13465406,13.86557851,6.796852212,,,15.681156,6.796852212,,245.8986535,46.19719999,17.09081196,,0.408998271,23.43387475
10,22,21:59,1:27,35.70873,-98.01893,21:59,1/0/1900 21:59,35.85324,-97.94466,22:18,1/0/1900 22:18,null,null,null,null,17.38339665,0,,17.38339665,17383.39665,,1140,#VALUE!,1140,,15.24859355,,,10,6.720994604,,0,6.720994604,5.895609302,,10,16.03409926,,0,16.03409926,14.06499935,,,5.895609302,14.06499935,,34.75820904,197.8242067,15.25065296,,1.173875083,67.25808793
